# Contract matrix for Sui token-flow policy authorization.
# This matrix is an implementation input for transaction-derived token-flow
# facts and the current automatic policy-signing boundary.
# Amounts are raw SUI MIST amounts parsed from serialized TransactionData bytes.
case_id	fixture	flow_case	flow0_asset_state	request_network	amount_state	sui_total_out_complete	sui_total_out_raw	transfer_total_out_raw	move_call_total_in_raw	merge_total_raw	recipient0_address	recipient0_amount_raw	move_call0_package	move_call0_module	move_call0_function	move_call0_sui_amount_raw	policy_condition	expected_sign_rule_valid	expected_policy_decision	required_reason
split_transfer_total_pass	valid_sui_transfer_tx	split_to_transfer	proven_sui	testnet	known	yes	1000000	1000000	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	1000000	none	none	none	0	sui_total_out_lte_1000000	yes	sign	complete_token_flow_and_matching_limit
split_transfer_total_reject	valid_sui_transfer_tx	split_to_transfer	proven_sui	testnet	known	yes	1000000	1000000	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	1000000	none	none	none	0	sui_total_out_lte_999999	yes	policy_rejected	amount_exceeds_limit
split_move_call_amount_pass	split_move_call_tx	split_to_move_call	proven_sui	testnet	known	yes	1000000	0	1000000	0	none	0	0x2222222222222222222222222222222222222222222222222222222222222222	pay	spend_coin	1000000	move_call_amount_lte_1000000	no	invalid_policy	move_call_sign_not_supported
split_move_call_amount_reject	split_move_call_tx	split_to_move_call	proven_sui	testnet	known	yes	1000000	0	1000000	0	none	0	0x2222222222222222222222222222222222222222222222222222222222222222	pay	spend_coin	1000000	move_call_amount_lte_999999	no	invalid_policy	move_call_sign_not_supported
direct_object_transfer_amount_limit_reject	direct_object_transfer_tx	direct_object_transfer	unproven	testnet	incomplete	no	unknown	unknown	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	unknown	none	none	none	0	sui_total_out_lte_1000000	no	policy_rejected	unproven_direct_object
non_gas_split_transfer_reject	non_gas_split_transfer_tx	non_gas_split_transfer	unproven	testnet	incomplete	no	unknown	unknown	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	unknown	none	none	none	0	sui_total_out_lte_1000000	no	policy_rejected	unproven_split_source
funds_withdrawal_transfer_reject	funds_withdrawal_transfer_tx	funds_withdrawal_transfer	unproven	testnet	incomplete	no	unknown	unknown	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	unknown	none	none	none	0	sui_total_out_lte_1000000	no	policy_rejected	funds_withdrawal_not_auto_signable
merge_known_known_sum	merge_known_known_tx	merge_known_known	proven_sui	testnet	known	yes	0	0	0	3000000	none	0	none	none	none	0	sui_total_out_lte_3000000	no	invalid_policy	merge_sign_not_supported
merge_known_unknown_incomplete	merge_known_unknown_tx	merge_known_unknown	unproven	testnet	known	yes	0	0	0	unknown	none	0	none	none	none	0	sui_total_out_lte_3000000	no	invalid_policy	merge_sign_not_supported
gas_budget_pass	valid_sui_transfer_tx	split_to_transfer	proven_sui	testnet	known	yes	1000000	1000000	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	1000000	none	none	none	0	gas_budget_lte_50000000	yes	sign	matching_gas_limit
gas_budget_too_high_reject	valid_sui_transfer_tx	split_to_transfer	proven_sui	testnet	known	yes	1000000	1000000	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	1000000	none	none	none	0	gas_budget_lte_49999999	yes	policy_rejected	gas_budget_exceeds_limit
request_network_missing_invalid_params	valid_sui_transfer_tx	split_to_transfer	proven_sui	missing	known	yes	1000000	1000000	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	1000000	none	none	none	0	request_network_required	no	invalid_params	request_network_missing
request_network_invalid_params	valid_sui_transfer_tx	split_to_transfer	proven_sui	invalid	known	yes	1000000	1000000	0	0	0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb	1000000	none	none	none	0	request_network_required	no	invalid_params	request_network_invalid
wrong_move_call_package_reject	split_move_call_tx	split_to_move_call	proven_sui	testnet	known	yes	1000000	0	1000000	0	none	0	0x2222222222222222222222222222222222222222222222222222222222222222	pay	spend_coin	1000000	move_call_package_eq_0x3333333333333333333333333333333333333333333333333333333333333333	no	invalid_policy	move_call_sign_not_supported
missing_required_field_invalid	split_move_call_tx	split_to_move_call	proven_sui	testnet	known	yes	1000000	0	1000000	0	none	0	0x2222222222222222222222222222222222222222222222222222222222222222	pay	spend_coin	1000000	missing_required_amount_field	no	invalid_policy	sign_rule_not_bounded
policy_coverage_incomplete_reject	publish_tx	publish	none	testnet	incomplete	no	unknown	0	0	0	none	0	none	none	none	0	sui_total_out_lte_1000000	no	policy_rejected	policy_coverage_incomplete
user_blind_does_not_affect_policy	publish_tx	publish	none	testnet	incomplete	no	unknown	0	0	0	none	0	none	none	none	0	user_blind_available	no	policy_rejected	policy_mode_has_no_user_fallback
