# Current Sui transaction adapter/preparation coverage matrix.
# This matrix is intentionally about Firmware-owned coverage only:
# - user clear means bounded offline review rows are available;
# - user blind means minimum transaction facts are available but full review is incomplete;
# - policy runtime authorization is covered by separate active-policy evaluator fixtures.
fixture	full_facts_parse_result	minimum_facts_coverage	offline_review_coverage	adapter_user_gate_covered	adapter_policy_gate_covered	required_review_fields	expected_user_gate_after_adapter	expected_policy_gate_after_adapter	final_user_mode_outcome	final_policy_mode_outcome
valid_sui_transfer_tx	ok	yes	complete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Cmd0 amount0,Command 1,Cmd1 recipient	ok_review_pending	policy_rejected	offline_facts_review_confirmation	policy_rejected
sponsored_gas_owner_tx	ok	yes	complete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Cmd0 amount0,Command 1,Cmd1 recipient	ok_review_pending	policy_rejected	invalid_account	invalid_account
result_reference_transfer_tx	ok	yes	complete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Command 1,Cmd1 recipient	ok_review_pending	policy_rejected	offline_facts_review_confirmation	policy_rejected
merge_coins_tx	ok	yes	complete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Cmd0 args	ok_review_pending	policy_rejected	offline_facts_review_confirmation	policy_rejected
move_call_tx	ok	yes	complete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Cmd0 package,Cmd0 module,Cmd0 function,Cmd0 args	ok_review_pending	policy_rejected	offline_facts_review_confirmation	policy_rejected
funds_withdrawal_tx	ok	yes	complete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Input0 amount,Input0 type,Input0 source,Command 0,Cmd0 package,Cmd0 module,Cmd0 function,Cmd0 args	ok_review_pending	policy_rejected	offline_facts_review_confirmation	policy_rejected
publish_tx	ok	yes	incomplete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Cmd0 modules,Cmd0 deps	blind_signing_confirmation	policy_rejected	blind_signing_confirmation	policy_rejected
upgrade_tx	ok	yes	incomplete	yes	no	Type,Risk,Sender,Gas owner,Gas max,Gas price,Gas coins,Expiration,Inputs,Commands,Command 0,Cmd0 package,Cmd0 modules,Cmd0 deps	blind_signing_confirmation	policy_rejected	blind_signing_confirmation	policy_rejected
large_pure_input_tx	too_large	yes	incomplete	yes	no	Type,Reason,Sender,Gas owner,Gas max,Gas price	blind_signing_confirmation	policy_rejected	blind_signing_confirmation	policy_rejected
malformed_short_tx	malformed	no	unsupported	no	no	none	malformed_transaction	malformed_transaction	malformed_transaction	malformed_transaction
trailing_bytes_tx	malformed	no	unsupported	no	no	none	malformed_transaction	malformed_transaction	malformed_transaction	malformed_transaction
transaction_kind_only_sui_transfer_tx	transaction_kind_only	no	unsupported	no	no	none	unsupported_transaction	unsupported_transaction	unsupported_transaction	unsupported_transaction
